18 20 22 17 34 30 0
18 45 27 22 19 25 0
36 30 50 35 12 36 1
27 33 27 33 27 27 0
31 43 30 16 72 71 1
30 10 30 18 18 26 0
33 27 46 31 38 31 1
51 17 36 30 30 36 1
51 75 87 43 31 39 1
39 25 39 45 115 36 1
19 15 29 22 23 20 0
23 30 24 23 9 22 0
73 30 11 31 41 33 0
22 32 15 12 20 20 0
66 50 37 54 57 47 1
31 26 27 61 18 36 0
25 12 17 25 29 72 0
44 44 44 36 36 44 1
19 18 15 12 28 21 0
46 46 46 46 57 57 1
48 40 48 31 27 36 1
27 31 51 37 22 32 1
49 40 59 69 65 42 1
31 32 53 40 35 39 1
30 23 23 20 27 35 0
9 28 47 32 51 39 0
20 30 25 23 22 27 0
24 23 24 21 31 18 0
33 22 31 37 34 30 0
44 29 20 31 19 87 0
20 30 21 33 33 23 0
21 24 16 27 22 27 0
18 18 18 18 18 15 0
19 26 28 40 22 26 0
38 39 33 61 44 28 1
22 25 14 21 61 26 0
26 28 12 27 29 29 0
29 36 23 35 34 28 0
24 27 15 31 27 22 0
28 90 59 59 72 72 1
25 32 22 28 23 23 0
23 10 31 10 16 31 0
29 74 51 48 66 58 1
32 23 33 21 25 27 0
26 49 42 38 34 42 1
31 32 31 32 32 10 0
36 19 33 27 57 29 1
29 31 41 72 40 39 1
23 24 25 32 35 27 0
21 21 21 15 12 21 0
52 46 56 29 53 36 1
24 24 23 24 38 25 0
21 29 74 34 33 33 0
30 57 18 42 35 43 1
23 10 27 28 31 25 0
39 23 28 28 34 34 0
18 23 20 32 60 27 0
26 30 22 60 33 37 0
36 36 44 36 36 36 1
29 31 24 27 29 35 0
27 24 33 31 26 25 0
24 16 22 34 24 24 0
21 22 28 19 28 33 0
91 99 21 77 77 77 1
20 44 20 26 27 33 0
31 20 31 31 26 31 0
28 58 69 75 48 59 1
23 19 23 31 37 38 0
17 33 31 31 25 25 0
42 22 44 18 29 27 1
22 21 26 21 26 21 0
11 21 19 24 15 32 0
18 28 37 35 46 29 0
21 134 30 19 23 21 0
46 76 33 33 24 46 1
23 23 36 26 31 31 0
17 23 26 28 21 26 0
27 16 20 24 21 25 0
31 32 25 27 30 25 0
43 33 20 29 32 26 0
28 44 41 31 64 49 1
55 65 97 36 56 56 1
19 23 19 19 19 23 0
10 44 23 46 15 76 1
30 38 69 24 32 44 0
37 37 46 46 46 37 1
28 24 39 31 54 48 1
43 36 19 28 18 33 0
30 28 23 20 32 30 0
49 41 46 65 34 49 1
42 34 34 42 34 42 1
26 76 43 32 41 50 1
54 38 31 73 45 51 1
49 71 54 85 36 55 1
29 13 26 21 21 26 0
17 34 36 27 20 27 0
25 17 28 33 31 31 0
29 27 44 13 21 22 0
28 23 26 31 16 28 0
